               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061114,             0.09044,            0.078964,             0.66971,              0.2219,            0.052938,            0.029288,            0.032022,             0.04808,            0.064096,            0.070114,           0.0033207,           0.0033207
                   1,            0.046411,            0.069527,            0.062859,              0.8446,             0.20026,             0.20742,             0.11864,            0.028827,            0.045662,            0.044756,            0.040048,           0.0065882,           0.0065882
                   2,            0.043524,            0.067147,            0.042754,             0.89366,               0.283,             0.27917,             0.14094,            0.033892,            0.046396,             0.02196,           0.0099159,           0.0097896,           0.0097896
                   3,            0.037667,            0.065219,            0.027914,             0.93238,             0.32426,             0.37256,             0.24082,            0.025214,            0.043749,             0.01581,            0.009703,            0.009703,            0.009703
                   4,            0.034353,            0.063649,            0.022685,             0.95186,             0.40954,             0.47376,             0.30415,            0.025549,            0.043322,            0.012356,            0.009703,            0.009703,            0.009703
                   5,            0.032022,            0.062224,            0.018923,             0.95372,             0.47784,             0.57494,             0.39116,            0.023078,            0.043102,            0.010395,            0.009604,            0.009604,            0.009604
                   6,            0.030642,            0.061317,            0.016376,             0.89895,             0.54798,              0.6322,              0.4423,             0.02235,              0.0417,           0.0092409,            0.009505,            0.009505,            0.009505
                   7,            0.030046,            0.060177,            0.015317,             0.87244,             0.67554,             0.75088,             0.51339,            0.022062,             0.04134,           0.0080304,            0.009406,            0.009406,            0.009406
                   8,            0.029111,            0.059868,            0.013705,              0.9465,              0.7083,              0.7945,             0.55573,            0.021705,            0.041504,           0.0072815,            0.009307,            0.009307,            0.009307
                   9,            0.028812,            0.060084,            0.012594,             0.86837,              0.7999,             0.81031,             0.56586,             0.02153,            0.041192,           0.0064954,            0.009208,            0.009208,            0.009208
                  10,             0.02789,            0.059327,            0.011756,             0.91899,             0.77571,             0.84697,             0.59985,            0.021153,            0.040946,           0.0058559,            0.009109,            0.009109,            0.009109
                  11,            0.027698,            0.059097,            0.011275,             0.90079,             0.84197,              0.8608,             0.60844,             0.02067,            0.040572,           0.0058087,             0.00901,             0.00901,             0.00901
                  12,            0.027137,            0.059173,            0.010688,             0.90833,             0.83147,             0.85487,             0.60361,            0.021713,            0.041333,           0.0055412,            0.008911,            0.008911,            0.008911
                  13,            0.026916,            0.058972,            0.010135,             0.91424,             0.82853,             0.90124,             0.64664,            0.020238,            0.040209,            0.005236,            0.008812,            0.008812,            0.008812
                  14,            0.026248,             0.05862,           0.0098033,             0.86742,             0.90216,             0.88921,             0.63777,            0.020648,            0.040331,            0.005211,            0.008713,            0.008713,            0.008713
                  15,            0.025828,            0.057935,           0.0095132,             0.90633,             0.88049,               0.889,             0.63322,            0.020543,              0.0404,           0.0051435,            0.008614,            0.008614,            0.008614
                  16,             0.02557,            0.057133,           0.0093299,             0.81813,             0.91555,             0.91494,             0.65079,            0.020519,            0.040086,           0.0053304,            0.008515,            0.008515,            0.008515
                  17,            0.026052,            0.056434,           0.0091232,             0.91087,             0.87314,              0.9341,             0.66555,            0.020081,            0.040045,           0.0049108,            0.008416,            0.008416,            0.008416
                  18,            0.025319,            0.057747,           0.0087954,             0.87852,             0.92342,              0.9277,             0.67133,             0.02024,            0.040055,           0.0046887,            0.008317,            0.008317,            0.008317
                  19,            0.025197,            0.056823,           0.0084661,             0.88007,             0.92749,             0.95317,             0.69409,            0.019825,            0.039714,           0.0047137,            0.008218,            0.008218,            0.008218
                  20,            0.024837,            0.056344,           0.0083618,              0.9153,             0.93014,             0.93863,               0.681,            0.019854,            0.039731,           0.0040814,            0.008119,            0.008119,            0.008119
                  21,            0.024874,            0.056726,           0.0083368,             0.92744,             0.92319,             0.95149,             0.69083,            0.019909,            0.039637,              0.0047,             0.00802,             0.00802,             0.00802
                  22,            0.024727,            0.056103,            0.008405,             0.92551,             0.93197,               0.954,             0.68861,            0.019761,            0.039641,           0.0044692,            0.007921,            0.007921,            0.007921
                  23,            0.024669,            0.056021,            0.008105,             0.94041,             0.91667,             0.95687,             0.69696,            0.019881,            0.039528,           0.0040943,            0.007822,            0.007822,            0.007822
                  24,            0.024269,            0.056187,           0.0077386,             0.92405,             0.97033,             0.96854,             0.70983,            0.019679,            0.039572,           0.0043909,            0.007723,            0.007723,            0.007723
                  25,            0.023861,            0.055213,           0.0075866,             0.92634,             0.96031,             0.96509,             0.70309,            0.019474,            0.039213,           0.0038348,            0.007624,            0.007624,            0.007624
                  26,            0.024196,            0.055511,            0.007621,             0.93126,             0.96463,             0.96618,             0.70303,             0.01969,            0.039442,           0.0037334,            0.007525,            0.007525,            0.007525
                  27,            0.023901,            0.055805,           0.0073092,              0.9506,             0.95511,             0.96661,             0.70025,            0.019754,            0.039768,           0.0034152,            0.007426,            0.007426,            0.007426
                  28,             0.02374,            0.054953,           0.0075219,             0.94932,             0.95427,             0.97017,             0.71012,            0.019804,            0.039267,            0.003478,            0.007327,            0.007327,            0.007327
                  29,            0.023478,            0.055228,           0.0071561,             0.95634,             0.96206,             0.97369,             0.71348,            0.019502,            0.039382,            0.003537,            0.007228,            0.007228,            0.007228
                  30,            0.023441,            0.054905,           0.0070838,             0.95466,             0.96181,             0.97183,             0.71032,            0.019534,            0.039272,           0.0032499,            0.007129,            0.007129,            0.007129
                  31,             0.02337,            0.054812,           0.0072187,             0.96555,             0.95909,             0.96591,             0.69848,            0.019838,            0.039273,           0.0032507,             0.00703,             0.00703,             0.00703
                  32,            0.023268,            0.054729,           0.0069656,             0.95984,             0.95282,              0.9728,             0.70503,            0.019973,            0.039428,           0.0031153,            0.006931,            0.006931,            0.006931
                  33,            0.023244,            0.054714,           0.0069264,             0.96568,             0.95574,             0.97076,             0.70812,            0.019662,            0.039477,           0.0032218,            0.006832,            0.006832,            0.006832
                  34,            0.023196,            0.054579,           0.0066526,             0.96215,             0.96428,             0.97014,             0.70785,            0.019662,             0.03939,           0.0032599,            0.006733,            0.006733,            0.006733
                  35,            0.022766,            0.053873,           0.0067472,             0.97001,             0.95355,             0.97221,             0.70719,             0.01949,            0.039404,            0.003303,            0.006634,            0.006634,            0.006634
