               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076603,            0.020047,            0.023565,             0.90214,             0.13589,             0.12646,             0.06151,              0.0558,           0.0089934,            0.018305,            0.070166,           0.0033149,           0.0033149
                   1,             0.05043,            0.013548,            0.014248,             0.92224,             0.15399,             0.21804,             0.10206,            0.049908,           0.0070004,            0.013723,              0.0401,           0.0065824,           0.0065824
                   2,            0.044945,             0.01024,            0.011004,             0.33663,             0.44797,             0.45737,             0.22198,            0.041344,           0.0056535,            0.010548,           0.0099681,           0.0097839,           0.0097839
                   3,            0.039538,            0.008338,           0.0082933,             0.52721,             0.63616,             0.63902,             0.31037,            0.033909,           0.0052534,           0.0086875,            0.009703,            0.009703,            0.009703
                   4,            0.034355,           0.0074997,           0.0073204,             0.83485,             0.70823,             0.78428,             0.45287,            0.025962,           0.0047526,           0.0074904,            0.009703,            0.009703,            0.009703
                   5,            0.031333,           0.0071736,           0.0061985,             0.71547,             0.79024,             0.82219,             0.47054,            0.028084,           0.0049372,           0.0056511,            0.009604,            0.009604,            0.009604
                   6,            0.030596,           0.0069386,           0.0046476,             0.82357,             0.79712,             0.84085,             0.49747,            0.025905,           0.0047391,            0.005865,            0.009505,            0.009505,            0.009505
                   7,            0.029612,           0.0067867,           0.0039737,             0.77457,             0.83402,              0.8564,             0.49531,             0.02718,           0.0045047,           0.0036641,            0.009406,            0.009406,            0.009406
                   8,            0.028066,           0.0064866,           0.0033999,             0.76878,             0.81362,             0.86253,             0.51167,            0.023697,           0.0044395,           0.0041184,            0.009307,            0.009307,            0.009307
                   9,            0.027311,           0.0065989,           0.0034923,             0.81165,             0.75139,             0.85058,             0.50502,            0.022752,           0.0046588,           0.0035083,            0.009208,            0.009208,            0.009208
                  10,            0.025854,           0.0064983,           0.0035795,             0.81516,             0.77421,             0.84937,             0.51097,            0.022532,           0.0043616,           0.0039271,            0.009109,            0.009109,            0.009109
                  11,            0.025919,           0.0062578,           0.0027988,             0.71825,             0.86986,             0.82863,             0.50773,            0.023385,           0.0042094,           0.0026252,             0.00901,             0.00901,             0.00901
                  12,            0.024755,           0.0062276,           0.0027477,             0.75079,             0.89136,             0.85862,             0.53699,            0.022466,           0.0041652,           0.0024727,            0.008911,            0.008911,            0.008911
                  13,            0.024576,            0.006199,            0.002808,             0.89101,              0.8625,             0.91374,             0.59172,            0.021502,           0.0044025,           0.0031625,            0.008812,            0.008812,            0.008812
                  14,            0.024029,           0.0060956,           0.0023952,             0.90126,             0.89435,             0.94934,             0.60594,            0.020132,           0.0040632,           0.0024895,            0.008713,            0.008713,            0.008713
                  15,            0.022928,           0.0058494,           0.0022402,             0.87217,             0.93027,             0.94829,             0.62202,            0.020349,           0.0039456,           0.0016993,            0.008614,            0.008614,            0.008614
                  16,            0.023011,           0.0058538,            0.002167,              0.8962,             0.93539,             0.96117,             0.63044,            0.019692,            0.003934,           0.0020897,            0.008515,            0.008515,            0.008515
                  17,            0.022646,            0.005907,           0.0019889,             0.83631,              0.9044,             0.91718,             0.61179,            0.021294,           0.0041845,            0.002207,            0.008416,            0.008416,            0.008416
                  18,            0.022186,           0.0056771,           0.0016432,             0.90612,             0.94889,             0.96968,             0.61342,            0.019492,           0.0038856,           0.0015134,            0.008317,            0.008317,            0.008317
                  19,            0.021359,           0.0056077,           0.0015404,             0.79659,             0.91741,             0.89155,             0.56015,            0.020751,              0.0042,            0.002116,            0.008218,            0.008218,            0.008218
                  20,             0.02148,           0.0056094,           0.0016029,             0.90672,             0.90684,             0.95083,             0.60363,            0.019636,           0.0040121,           0.0023588,            0.008119,            0.008119,            0.008119
                  21,            0.021129,           0.0056819,           0.0018725,             0.89903,             0.93238,             0.95915,             0.63855,            0.019033,           0.0040193,           0.0020917,             0.00802,             0.00802,             0.00802
                  22,            0.020577,           0.0055883,           0.0018527,             0.94039,              0.9124,             0.96289,             0.67011,            0.018891,           0.0039753,           0.0014807,            0.007921,            0.007921,            0.007921
                  23,            0.019938,           0.0053611,           0.0014939,             0.92471,             0.96219,             0.96992,             0.64678,            0.018528,           0.0038572,            0.001309,            0.007822,            0.007822,            0.007822
                  24,            0.020256,           0.0054013,           0.0013556,             0.88507,             0.95702,             0.96279,             0.66944,            0.019175,           0.0038191,           0.0013883,            0.007723,            0.007723,            0.007723
                  25,            0.020033,           0.0053056,           0.0014612,             0.88302,             0.93918,             0.94905,             0.63568,            0.019242,            0.003814,           0.0017472,            0.007624,            0.007624,            0.007624
                  26,            0.020063,           0.0054758,           0.0016685,              0.8513,             0.89004,             0.91714,             0.61871,            0.018877,            0.003866,           0.0017402,            0.007525,            0.007525,            0.007525
                  27,            0.019338,           0.0054193,           0.0015011,             0.90372,             0.93034,             0.95862,             0.65648,            0.017867,           0.0037552,           0.0011774,            0.007426,            0.007426,            0.007426
                  28,            0.018942,           0.0051751,           0.0012657,             0.90513,             0.96471,             0.97145,             0.66058,            0.017781,           0.0038577,          0.00087358,            0.007327,            0.007327,            0.007327
                  29,              0.0192,           0.0051909,            0.001368,              0.9283,             0.95789,             0.97606,             0.67952,            0.017699,           0.0037151,           0.0012198,            0.007228,            0.007228,            0.007228
                  30,            0.019142,           0.0051731,           0.0011131,              0.9464,              0.9279,             0.98044,             0.68707,            0.017603,             0.00367,          0.00087152,            0.007129,            0.007129,            0.007129
                  31,            0.018922,           0.0051215,           0.0011717,             0.90838,             0.97258,             0.97562,             0.66708,            0.017333,           0.0036357,           0.0013384,             0.00703,             0.00703,             0.00703
                  32,            0.018253,           0.0049603,          0.00099514,             0.93791,             0.94185,             0.97427,              0.6799,             0.01713,           0.0036599,           0.0011493,            0.006931,            0.006931,            0.006931
                  33,            0.018261,           0.0050802,           0.0011875,             0.88118,             0.93486,             0.95124,             0.66469,            0.016999,           0.0037562,           0.0015136,            0.006832,            0.006832,            0.006832
                  34,            0.018283,            0.004923,          0.00089117,             0.94247,             0.92252,             0.97772,             0.66629,            0.017187,           0.0035928,          0.00097101,            0.006733,            0.006733,            0.006733
                  35,            0.017742,           0.0049182,           0.0010456,             0.93863,             0.95359,              0.9771,             0.68152,            0.017169,           0.0036529,          0.00095408,            0.006634,            0.006634,            0.006634
                  36,            0.017834,           0.0049763,          0.00083727,             0.94298,             0.93788,             0.98071,             0.70728,            0.016567,           0.0035374,          0.00067313,            0.006535,            0.006535,            0.006535
                  37,            0.017663,           0.0049078,           0.0010052,             0.92127,             0.91805,              0.9676,             0.69078,            0.017364,           0.0037376,           0.0013575,            0.006436,            0.006436,            0.006436
                  38,            0.017381,           0.0048375,          0.00092815,              0.9085,             0.97138,             0.97797,             0.69662,            0.016721,           0.0036473,          0.00061633,            0.006337,            0.006337,            0.006337
                  39,            0.017202,           0.0047416,          0.00079872,             0.90911,             0.95045,              0.9756,             0.70172,            0.016688,           0.0035578,            0.000922,            0.006238,            0.006238,            0.006238
                  40,            0.016882,           0.0048041,          0.00083507,             0.92209,             0.93669,             0.97467,             0.68146,            0.016956,           0.0037404,          0.00066901,            0.006139,            0.006139,            0.006139
                  41,            0.016919,            0.004799,          0.00083936,             0.90828,             0.95652,             0.97232,              0.6994,            0.016261,           0.0036914,           0.0011495,             0.00604,             0.00604,             0.00604
                  42,            0.017003,           0.0047586,           0.0010116,             0.90509,             0.95479,             0.96189,             0.68064,            0.016618,           0.0037545,           0.0013612,            0.005941,            0.005941,            0.005941
